年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),平均海面気圧(hPa),平均湿度(％),平均雲量(10分比),天気概況(昼：06時～18時)
2005/6/12,28.5,18.5,0,4.2,1.4,1002.4,63,7.5,曇後一時晴
2005/6/13,30.8,19.2,0,12.4,2.0,1006.7,54,4.0,晴
2005/6/14,30.0,17.2,0.0,7.9,2.5,1009.3,58,9.5,晴時々薄曇
2005/6/15,27.2,21.1,1.0,1.0,2.6,1006.6,60,10.0,曇一時雨
2005/6/16,25.0,20.2,11.0,1.4,2.0,1008.0,74,9.5,雨後曇
2005/6/17,30.1,20.2,0,5.2,1.8,1008.1,63,9.0,曇時々晴
2005/6/18,31.8,20.7,0,6.7,1.8,1005.9,58,7.5,晴一時曇
2005/6/19,31.2,21.5,0.0,9.9,2.1,1004.2,60,10.0,晴時々薄曇
2005/6/20,34.2,21.6,0,10.0,2.1,1004.2,57,5.8,晴
2005/6/21,30.0,22.0,0.0,7.4,3.1,1006.1,59,9.5,晴時々薄曇
2005/6/22,28.6,20.7,4.5,0.7,1.9,1004.7,70,9.8,曇
2005/6/23,28.7,22.6,0.0,1.3,1.9,1006.1,68,10.0,曇
2005/6/24,31.5,22.0,0,3.2,1.5,1007.0,62,9.5,薄曇
2005/6/25,34.8,21.5,0,11.9,2.0,1008.1,55,3.0,晴
2005/6/26,33.2,23.4,0,8.2,2.5,1009.4,55,10.0,薄曇
2005/6/27,32.9,24.8,0.0,4.9,2.6,1007.3,59,9.5,曇時々晴
2005/6/28,35.2,25.3,14.5,4.1,2.4,1007.4,63,9.8,曇時々晴
2005/6/29,28.3,24.7,13.0,0.3,1.4,1010.0,78,9.3,雨一時曇、雷を伴う
2005/6/30,34.7,25.1,1.0,5.1,1.7,1009.8,70,9.3,曇時々晴後一時雨、雷を伴う
2005/7/1,29.0,22.3,14.0,0,1.7,1007.7,78,10.0,雨時々曇
2005/7/2,24.3,21.5,22.0,0,1.4,1005.6,82,10.0,雨時々曇
2005/7/3,25.3,22.3,35.5,0,1.1,1004.0,85,10.0,雨
2005/7/4,25.3,22.1,54.5,0,1.7,998.5,88,10.0,大雨
2005/7/5,31.7,21.5,2.5,2.7,1.4,1000.0,73,10.0,曇一時雨
2005/7/6,29.6,20.9,0.0,3.2,1.5,1001.7,71,10.0,曇一時晴
2005/7/7,30.8,20.8,9.0,3.1,1.2,1007.5,75,6.0,曇一時雨、雷を伴う
2005/7/8,30.4,20.3,0,3.3,1.3,1010.0,68,9.3,曇後一時晴
2005/7/9,27.5,22.7,18.0,0,1.4,1007.5,79,10.0,雨一時曇
2005/7/10,30.7,23.5,3.0,1.5,1.8,1006.2,76,10.0,曇
2005/7/11,27.5,22.5,16.0,0,1.1,1007.1,81,10.0,曇一時雨
2005/7/12,30.0,22.5,6.0,1.0,2.1,1006.3,73,10.0,曇時々雨
2005/7/13,32.4,21.1,5.5,2.3,1.7,1011.3,68,8.0,曇
2005/7/14,32.3,24.0,0.5,3.3,1.7,1014.5,71,9.3,曇一時晴
2005/7/15,34.7,23.5,0,8.8,1.6,1016.9,62,4.3,晴一時薄曇
2005/7/16,34.3,24.7,0,4.6,1.7,1016.4,64,7.5,晴後曇
2005/7/17,32.1,25.6,0.0,0.3,1.3,1015.0,63,10.0,曇
2005/7/18,34.8,24.1,0,8.4,1.9,1012.5,63,5.8,晴
2005/7/19,33.1,25.7,0,5.1,1.8,1009.3,59,9.3,曇後時々晴
2005/7/20,34.6,23.7,0,10.0,1.8,1007.2,54,8.3,晴
2005/7/21,36.3,24.7,0,8.8,1.9,1006.8,53,4.5,晴
2005/7/22,35.2,26.0,0,8.7,2.2,1007.1,59,2.8,晴
2005/7/23,32.5,25.3,0,4.3,2.0,1007.4,59,4.3,曇時々晴
2005/7/24,32.2,25.0,0.0,3.2,2.2,1007.6,62,7.5,曇一時晴
2005/7/25,32.0,25.1,0.0,2.4,2.7,1005.0,62,8.3,曇
2005/7/26,28.5,23.3,4.5,0,2.8,995.0,73,10.0,雨
2005/7/27,30.2,21.9,0.0,3.9,2.1,1005.0,63,6.5,曇一時晴
2005/7/28,35.3,21.5,0,11.0,1.7,1006.7,57,3.3,晴
2005/7/29,34.2,25.3,0,3.8,2.1,1007.0,58,8.0,曇時々晴
2005/7/30,34.4,26.1,0.0,4.3,1.6,1008.1,57,9.5,曇一時晴
2005/7/31,29.7,24.2,7.5,0,1.3,1008.9,72,9.8,曇後一時雨
2005/8/1,35.1,23.4,0,9.5,1.8,1008.1,62,9.3,晴後薄曇
2005/8/2,35.2,26.3,0.0,5.2,1.8,1008.6,62,10.0,曇時々晴、雷を伴う
2005/8/3,35.9,26.1,0,10.0,1.8,1009.8,56,6.0,晴一時曇
2005/8/4,36.3,25.1,0,8.6,1.7,1011.3,55,7.8,晴一時曇
2005/8/5,36.9,26.3,2.0,7.9,1.6,1011.3,59,6.5,晴後曇
2005/8/6,33.8,25.8,0.5,4.4,1.7,1011.1,65,9.5,曇時々晴後一時雨、雷を伴う
2005/8/7,35.6,24.5,0.0,11.2,2.0,1011.9,58,4.3,晴
2005/8/8,36.1,24.0,43.5,8.4,1.7,1012.1,67,4.8,晴後大雨、雷を伴う
2005/8/9,35.6,23.1,0,6.1,1.4,1010.9,63,8.0,晴一時薄曇
2005/8/10,35.0,26.1,0.0,3.7,1.6,1009.1,62,6.8,曇一時晴
2005/8/11,34.8,26.0,0.0,4.2,1.5,1010.2,63,9.3,薄曇一時晴
2005/8/12,31.9,26.2,0.0,0.7,1.5,1011.3,66,10.0,曇一時雨
2005/8/13,30.6,25.8,0.0,0.4,1.2,1010.6,69,9.8,曇一時雨、雷を伴う
2005/8/14,29.3,24.6,0.0,0,1.3,1008.0,74,9.0,曇一時雨
2005/8/15,31.3,23.9,5.0,0.9,1.8,1003.4,70,9.0,曇
2005/8/16,32.6,24.0,0,5.8,2.2,1004.2,64,8.8,晴
2005/8/17,33.5,24.8,0.0,4.3,2.0,1008.0,63,10.0,曇一時晴
2005/8/18,35.0,24.7,2.0,6.5,1.8,1010.3,64,7.8,晴一時曇
2005/8/19,35.0,24.3,0.0,6.0,1.8,1010.0,64,6.0,曇時々晴
2005/8/20,34.7,24.0,0.0,9.2,2.0,1008.8,65,6.5,晴、雷を伴う
2005/8/21,32.7,24.3,0.0,4.5,1.9,1009.2,71,8.0,晴後曇一時雨
2005/8/22,34.1,24.2,0.5,7.0,1.8,1009.1,64,9.3,曇後晴
2005/8/23,28.2,24.2,2.5,0,1.5,1010.6,71,10.0,曇一時雨
2005/8/24,31.6,22.7,0.0,3.4,2.5,1010.7,65,9.5,晴後曇
2005/8/25,32.7,26.5,0.5,0.8,2.4,1006.1,57,9.8,曇
2005/8/26,35.6,25.5,0,7.6,2.1,1008.3,60,7.3,晴
2005/8/27,33.3,24.2,1.5,5.7,1.9,1010.1,59,6.3,晴一時曇
2005/8/28,30.1,22.3,0.0,4.2,1.6,1010.4,55,8.3,曇一時晴
2005/8/29,33.2,19.9,0,10.8,1.6,1011.1,53,4.3,晴後一時薄曇
2005/8/30,29.4,21.7,44.0,1.7,1.7,1011.7,75,8.5,曇後雨
2005/8/31,29.7,21.4,0,1.4,1.5,1013.8,71,10.0,曇
2005/9/1,33.4,24.6,0,3.6,1.4,1015.5,67,8.5,曇後晴
2005/9/2,34.6,24.0,0,7.0,1.7,1014.3,63,7.5,晴時々薄曇
2005/9/3,35.2,25.9,0,6.1,2.0,1012.5,60,9.0,晴時々薄曇
2005/9/4,30.2,22.7,4.0,1.4,1.8,1012.8,71,9.0,曇一時雨
2005/9/5,25.1,22.1,25.5,0,1.4,1012.3,83,10.0,雨
2005/9/6,28.7,23.0,3.0,0,4.3,1005.7,71,10.0,曇一時雨
2005/9/7,31.4,23.4,33.0,3.5,3.4,1002.4,68,9.3,曇一時晴
2005/9/8,31.3,22.9,0,7.5,1.7,1012.4,63,5.5,晴
2005/9/9,33.7,22.1,2.5,7.5,1.6,1016.1,67,6.8,晴後曇一時雨、雷を伴う
2005/9/10,31.6,22.9,3.0,4.1,1.5,1017.0,72,8.3,曇時々晴後一時雨
2005/9/11,30.4,23.2,0.5,0.3,1.4,1017.9,74,10.0,曇一時雨
2005/9/12,33.3,21.4,0,8.3,1.4,1017.9,65,4.0,晴
2005/9/13,33.7,23.8,0,7.6,1.6,1015.6,65,8.3,晴時々薄曇
2005/9/14,32.5,22.0,5.5,3.2,2.3,1011.2,68,7.3,曇一時雨
2005/9/15,27.7,19.7,0,8.2,2.4,1015.2,61,4.8,晴一時曇
2005/9/16,28.5,18.5,0,3.8,2.4,1019.0,59,9.0,曇一時晴
2005/9/17,29.2,22.0,0.0,3.2,2.7,1021.5,58,7.3,曇一時晴
2005/9/18,31.7,20.8,0,9.0,1.5,1020.9,63,4.5,晴
2005/9/19,31.1,22.5,6.0,2.7,1.4,1016.7,69,10.0,曇一時晴
2005/9/20,30.7,23.7,0.5,2.3,1.6,1012.5,68,10.0,曇
2005/9/21,29.9,20.9,0.0,4.9,1.9,1013.4,57,9.5,曇一時晴
2005/9/22,28.1,22.6,0.0,0.4,2.2,1014.7,69,9.5,曇
2005/9/23,30.7,23.6,0.0,2.7,1.9,1013.4,66,7.3,曇後晴
2005/9/24,29.0,22.1,0,10.4,3.3,1010.6,58,5.3,晴後一時曇
2005/9/25,24.1,20.8,0.0,1.2,2.8,1010.7,58,10.0,曇
2005/9/26,28.5,20.4,0.0,4.7,2.3,1016.0,56,8.8,晴一時曇
2005/9/27,27.9,17.5,2.5,5.4,1.7,1019.1,62,6.8,晴後曇
2005/9/28,23.8,17.8,5.5,0.4,1.2,1019.1,72,10.0,曇一時雨
2005/9/29,27.7,15.9,0,9.0,1.6,1019.4,59,4.3,晴
2005/9/30,28.4,17.6,0,8.7,2.2,1021.5,58,7.3,晴
2005/10/1,28.8,20.4,0,3.0,1.6,1018.6,61,6.3,曇時々晴
2005/10/2,28.4,21.5,0.0,1.0,1.6,1014.3,69,9.8,曇
2005/10/3,28.1,18.3,0.0,6.0,1.6,1016.6,55,7.0,晴後曇
2005/10/4,26.1,19.2,12.5,0,1.2,1016.0,71,10.0,曇後雨
2005/10/5,19.8,18.2,4.5,0,1.0,1017.3,81,10.0,雨一時曇
2005/10/6,27.2,16.6,0.0,9.4,1.5,1017.8,64,3.8,晴
2005/10/7,25.1,17.5,2.0,0.4,1.6,1016.6,73,10.0,曇後雨
2005/10/8,22.9,18.5,14.0,0,1.1,1013.9,81,10.0,雨
2005/10/9,26.1,17.0,0.0,9.1,1.8,1019.7,61,7.3,晴
2005/10/10,23.4,16.8,0.0,0.7,1.2,1021.2,64,10.0,曇一時雨
2005/10/11,22.8,18.6,0.0,0.2,1.1,1019.7,68,10.0,曇
2005/10/12,27.3,18.4,0,6.0,1.6,1019.1,61,5.8,晴
2005/10/13,27.8,16.4,0,8.4,2.0,1019.3,61,3.3,晴
2005/10/14,28.1,20.0,0.0,7.2,2.1,1015.4,57,7.8,晴一時曇
2005/10/15,21.8,18.8,34.0,0,1.3,1010.8,84,10.0,雨
2005/10/16,23.8,15.2,0.0,6.1,1.9,1013.3,66,6.0,晴一時薄曇
2005/10/17,23.8,14.8,0,0,1.4,1016.3,67,9.8,曇
2005/10/18,24.5,15.9,0,6.6,2.5,1018.8,55,9.0,曇後晴
2005/10/19,23.5,13.4,0,10.3,2.4,1022.1,54,2.5,晴
2005/10/20,22.9,11.4,0,10.6,1.7,1022.3,60,2.0,晴
2005/10/21,22.9,10.9,0.0,7.0,1.3,1015.5,60,5.8,晴一時曇
2005/10/22,17.4,10.0,0.0,0.7,1.7,1008.7,60,7.8,曇
2005/10/23,16.5,9.8,14.5,1.2,2.0,1011.5,77,7.8,曇一時雨
2005/10/24,21.0,9.4,0,9.9,1.4,1017.2,64,3.5,晴
2005/10/25,21.3,9.1,0,6.1,1.3,1022.0,64,7.3,薄曇
2005/10/26,21.1,10.7,0.0,3.2,1.1,1024.1,64,9.0,曇一時晴
2005/10/27,23.0,12.5,2.5,8.6,1.6,1023.7,65,3.0,晴
2005/10/28,23.1,10.3,0.0,8.3,1.2,1019.5,64,3.8,晴
2005/10/29,17.4,13.9,23.5,0.2,1.0,1013.0,76,10.0,雨後曇
2005/10/30,20.3,11.0,0.0,6.6,1.6,1015.3,58,7.0,晴一時薄曇
2005/10/31,18.9,8.7,0.0,6.1,1.6,1019.4,63,2.3,晴一時曇
2005/11/1,19.7,7.3,0,10.0,1.2,1024.7,62,1.0,晴
2005/11/2,21.0,7.8,0,8.4,1.1,1025.0,58,3.8,晴
2005/11/3,19.4,13.5,0.0,1.6,1.0,1021.8,67,8.3,曇
2005/11/4,23.2,12.4,0,8.7,1.2,1019.0,66,3.5,晴
2005/11/5,23.3,11.3,0,9.3,1.1,1017.5,60,5.0,晴
2005/11/6,19.2,14.4,9.5,0,1.8,1009.1,77,10.0,雨
2005/11/7,22.5,12.5,0.0,8.3,1.6,1009.4,64,2.0,晴
2005/11/8,20.7,9.4,0.0,6.2,1.5,1015.6,58,1.8,晴
2005/11/9,17.7,5.8,0,7.6,1.3,1018.3,54,4.8,晴後薄曇
2005/11/10,19.4,8.4,0,8.4,1.2,1019.3,55,4.0,快晴
2005/11/11,17.1,9.1,21.5,0,0.9,1015.1,73,9.8,曇後雨
2005/11/12,18.4,8.8,5.0,5.6,1.8,1016.7,70,5.5,曇後晴
2005/11/13,16.6,6.9,0,5.0,1.1,1023.0,71,4.3,晴後曇
2005/11/14,15.2,8.3,0.0,0.1,0.9,1016.4,70,10.0,曇
2005/11/15,17.2,9.6,0.0,6.9,1.9,1014.1,60,4.5,晴
2005/11/16,14.3,5.8,0.0,5.3,2.2,1018.8,62,3.8,晴時々曇
2005/11/17,13.8,4.1,0.0,4.4,1.4,1022.0,64,5.5,晴
2005/11/18,14.3,3.6,0.0,5.4,1.6,1023.6,65,3.8,晴一時薄曇
2005/11/19,13.1,6.0,0.0,7.4,2.0,1026.3,62,6.0,晴一時薄曇
2005/11/20,14.7,4.8,0.0,5.2,1.4,1026.2,63,5.3,晴
2005/11/21,15.0,2.5,0,9.3,1.2,1023.5,63,0.3,快晴
2005/11/22,16.3,3.9,0,7.2,1.1,1023.0,65,3.5,晴
2005/11/23,15.7,4.4,0,8.8,1.2,1023.0,63,6.3,薄曇一時晴
2005/11/24,17.3,7.2,0,7.4,1.2,1017.5,60,4.8,晴一時曇
2005/11/25,15.8,4.8,0,6.6,1.1,1016.9,65,0.8,晴
2005/11/26,15.9,4.4,0,6.2,1.0,1017.6,64,5.0,薄曇
2005/11/27,17.3,6.0,0.0,7.4,1.2,1016.7,64,5.5,晴
2005/11/28,16.9,6.1,0,6.8,1.3,1016.9,64,5.5,薄曇
2005/11/29,16.6,6.9,1.0,6.2,2.0,1008.6,55,6.3,晴
2005/11/30,11.9,4.6,0.0,3.5,1.6,1015.9,62,8.0,曇一時晴
2005/12/1,13.5,3.7,0,7.5,1.3,1020.2,63,6.0,晴一時薄曇
2005/12/2,12.6,6.2,0.0,0,1.0,1017.0,69,9.8,曇
2005/12/3,12.5,4.5,0.0,5.9,2.1,1016.2,58,7.0,晴時々曇
2005/12/4,5.9,3.6,6.0,0,1.7,1007.9,71,10.0,雨
2005/12/5,7.0,0.6,0.0,3.2,2.7,1005.6,58,6.0,晴後曇、みぞれを伴う
2005/12/6,4.8,0.8,26.5,0,1.2,1014.3,83,9.0,みぞれ後雨、雷を伴う
2005/12/7,9.9,0.3,0.0,5.5,1.4,1019.0,67,7.5,曇一時晴
2005/12/8,10.4,-0.2,0,7.5,1.5,1021.4,56,1.8,晴
2005/12/9,9.8,3.5,0,3.7,1.8,1022.9,51,7.8,曇時々晴
2005/12/10,11.6,3.4,0,6.2,1.6,1021.8,50,6.3,晴
2005/12/11,9.1,2.4,0.0,2.7,1.8,1016.5,60,9.0,曇後一時晴
2005/12/12,9.1,0.8,0.0,4.5,2.0,1011.5,52,5.8,晴一時曇
2005/12/13,6.8,-0.3,0.0,4.1,2.2,1012.4,47,4.0,曇時々晴
2005/12/14,7.4,-0.9,0,5.3,2.1,1016.8,48,5.0,晴時々曇
2005/12/15,8.3,-0.5,0,8.3,1.6,1019.0,52,2.8,晴
2005/12/16,8.5,-1.3,0,8.3,1.6,1018.9,49,0.3,晴
2005/12/17,9.1,-0.7,0.0,6.3,1.8,1014.9,48,3.8,晴
2005/12/18,4.0,-2.6,0.5,5.9,2.2,1018.6,61,9.0,晴時々雪
2005/12/19,4.6,-0.6,0.0,2.0,2.1,1021.1,72,7.3,雪後雨一時晴
2005/12/20,9.0,0.3,0,6.6,1.5,1024.2,64,6.3,晴
2005/12/21,8.2,0.2,0.0,2.3,1.4,1010.3,69,9.8,曇
2005/12/22,3.4,-3.7,6.5,1.5,2.2,1005.1,68,7.8,雪
2005/12/23,6.2,-2.5,0,7.9,1.8,1011.6,63,4.0,晴
2005/12/24,5.3,-0.1,0.0,4.3,1.7,1016.6,69,5.0,晴一時雪
2005/12/25,9.0,-1.0,0.0,9.0,1.5,1016.7,64,3.3,快晴
2005/12/26,6.8,1.6,0.0,6.5,2.4,1015.7,64,7.8,みぞれ時々晴
2005/12/27,6.1,0.8,0.0,1.6,1.9,1021.7,71,5.8,曇一時雪、みぞれを伴う
2005/12/28,7.1,1.1,0.0,4.9,1.9,1026.9,67,8.0,晴一時雪、みぞれを伴う
2005/12/29,7.8,-0.7,0.0,4.5,1.2,1028.5,69,5.5,晴一時曇
2005/12/30,9.3,-0.3,0.0,3.6,1.1,1025.6,64,6.5,曇後晴
2005/12/31,7.3,1.3,0.0,0.8,1.9,1027.8,58,10.0,曇
2006/1/1,10.3,-0.1,0,8.6,1.0,1023.1,58,5.0,晴
2006/1/2,8.9,2.7,0.0,2.7,1.3,1014.2,67,7.0,雨時々曇後晴
2006/1/3,7.3,2.7,0.0,4.5,2.5,1014.0,55,8.8,晴時々雨
2006/1/4,5.7,2.1,0.0,0.1,1.7,1018.3,57,10.0,曇
2006/1/5,4.6,-1.4,0.0,3.0,2.1,1018.5,64,9.0,曇時々雪後一時晴
2006/1/6,4.6,-1.4,0.0,3.0,1.4,1017.2,65,10.0,曇
2006/1/7,5.0,-0.8,1.5,2.5,1.6,1017.0,68,8.0,雪一時晴
2006/1/8,6.6,-2.9,0.0,7.1,1.4,1023.5,70,3.8,晴
2006/1/9,7.5,-1.9,0,8.7,1.3,1023.8,67,5.0,晴
2006/1/10,9.7,-1.2,0,7.1,1.1,1021.6,62,7.0,晴一時曇
2006/1/11,8.8,1.0,0.0,5.4,1.4,1027.2,63,4.0,晴
2006/1/12,10.0,-0.1,0,3.5,1.3,1031.1,67,5.3,曇一時晴
2006/1/13,11.0,0.5,3.5,0,1.3,1024.8,69,8.8,曇
2006/1/14,12.6,8.5,30.0,0,1.7,1009.9,81,10.0,雨
2006/1/15,12.1,4.0,0.0,4.3,2.0,1017.6,58,8.3,曇時々晴
2006/1/16,11.1,0.9,0.0,6.9,1.1,1019.8,64,5.5,晴後曇
2006/1/17,10.0,3.8,0.0,6.7,2.1,1022.2,61,8.0,晴一時曇
2006/1/18,8.2,2.6,0.0,1.6,1.7,1024.5,58,10.0,曇
2006/1/19,5.7,0.8,0.0,2.5,2.1,1025.7,64,10.0,曇時々雪
2006/1/20,8.3,0.4,0.0,5.0,1.5,1022.8,56,9.5,薄曇一時晴
2006/1/21,7.5,0.9,0.0,0,1.6,1013.7,59,10.0,曇
2006/1/22,8.4,-0.2,0.0,6.2,2.1,1012.7,58,5.8,晴後曇
2006/1/23,4.7,-1.3,1.0,4.7,1.9,1021.2,68,6.3,雪後一時晴
2006/1/24,6.0,-2.4,0.0,4.0,1.7,1026.0,68,5.8,曇後晴、みぞれを伴う
2006/1/25,7.1,0.4,0.0,1.9,1.3,1025.8,64,8.0,曇
2006/1/26,7.2,-0.8,0.0,3.2,1.3,1022.2,73,2.3,曇時々晴一時雨、あられを伴う
2006/1/27,9.7,0.2,0.0,1.9,1.4,1016.5,66,9.8,曇後一時雨
2006/1/28,6.5,0.8,0.5,2.8,1.8,1023.3,62,8.3,曇時々雨
2006/1/29,11.1,-2.3,0,9.2,1.1,1028.5,60,2.5,快晴
2006/1/30,8.8,5.9,2.0,0,0.9,1027.3,77,10.0,雨
2006/1/31,9.7,6.0,2.0,0,1.1,1024.6,81,10.0,雨後曇
2006/2/1,10.1,5.6,21.5,0,1.2,1014.5,80,9.5,雨
2006/2/2,10.1,3.5,0.0,4.4,1.3,1022.2,68,7.5,晴後曇
2006/2/3,8.5,-1.4,0.0,3.7,2.1,1022.2,62,8.3,曇一時晴、みぞれを伴う
2006/2/4,3.7,-3.0,0.0,4.5,1.9,1027.1,57,6.8,曇時々晴一時雪
2006/2/5,4.4,-1.7,0.0,5.4,1.9,1029.5,60,4.3,曇時々晴一時雪
2006/2/6,5.6,-1.4,5.5,0.1,1.6,1024.8,73,10.0,雪後みぞれ一時曇
2006/2/7,10.2,4.0,0.0,1.0,2.1,1011.2,71,9.3,曇一時雨
2006/2/8,9.0,1.6,0.5,4.8,1.9,1017.0,58,4.0,晴、みぞれを伴う
2006/2/9,5.8,-0.3,0.0,8.2,1.9,1026.2,61,3.0,晴一時雪
2006/2/10,9.5,-2.2,0.0,5.1,1.4,1019.9,57,5.0,晴一時曇
2006/2/11,11.2,4.3,0.0,2.7,1.5,1015.5,58,8.0,曇一時晴
2006/2/12,6.2,-0.8,0.0,3.4,2.3,1021.3,60,6.8,曇一時雪
2006/2/13,11.1,-2.2,0,10.2,1.7,1023.6,56,2.3,快晴
2006/2/14,13.0,-0.1,0.0,2.5,1.0,1017.9,67,7.5,曇一時雨
2006/2/15,16.7,6.8,7.5,2.7,1.3,1016.4,80,7.5,曇後時々雨
2006/2/16,9.7,7.5,6.0,0,1.2,1014.3,81,10.0,曇時々雨
2006/2/17,9.2,1.2,0.0,4.7,2.3,1020.5,62,5.0,晴後時々曇
2006/2/18,8.0,-0.3,0.0,3.3,1.4,1026.9,61,7.0,晴後曇
2006/2/19,9.4,0.4,0,2.8,1.2,1026.2,55,10.0,曇一時晴
2006/2/20,5.6,2.5,15.5,0,1.1,1023.8,75,10.0,雨
2006/2/21,12.6,3.1,0,1.7,1.4,1022.2,76,9.0,曇
2006/2/22,17.8,4.2,3.0,7.0,1.5,1019.7,70,8.8,晴一時曇
2006/2/23,9.9,3.3,0.0,0.2,2.1,1023.5,64,7.5,曇
2006/2/24,13.9,1.5,0,3.6,1.6,1027.7,54,8.0,曇一時晴
2006/2/25,16.5,1.2,0,8.8,2.2,1029.0,56,6.3,晴
2006/2/26,13.1,9.0,36.5,0,2.3,1016.5,75,10.0,雨一時曇、雷を伴う
2006/2/27,9.0,2.4,0.0,0.9,3.3,1028.1,54,9.3,曇、みぞれを伴う
2006/2/28,7.5,0.0,3.5,2.9,1.5,1026.1,64,5.8,晴後曇
2006/3/1,8.8,3.6,27.0,0,1.6,1009.4,82,10.0,雨
2006/3/2,9.2,2.0,0.0,5.8,2.1,1010.3,63,5.0,晴一時曇
2006/3/3,8.4,0.0,0.0,5.6,1.9,1018.0,60,2.0,晴一時曇、みぞれを伴う
2006/3/4,10.5,-1.0,0,10.3,1.6,1024.9,60,1.3,晴
2006/3/5,15.3,0.0,0.0,10.4,1.7,1025.6,51,2.5,快晴
2006/3/6,11.0,7.8,13.5,0,1.1,1020.4,83,10.0,雨後一時曇
2006/3/7,15.8,3.2,0,10.3,1.4,1019.3,59,0.8,快晴
2006/3/8,17.9,4.4,0,8.9,1.8,1021.8,56,4.0,晴
2006/3/9,14.2,3.7,0.5,2.8,1.9,1023.9,52,8.8,曇一時晴
2006/3/10,12.7,9.1,9.0,0,1.2,1018.2,77,10.0,雨
2006/3/11,17.9,8.8,0,5.1,1.7,1014.4,65,9.5,曇後晴
2006/3/12,11.3,3.5,2.5,0,1.8,1009.0,68,10.0,雨
2006/3/13,5.9,0.5,0.0,7.0,2.4,1014.0,53,6.8,曇時々雪一時晴
2006/3/14,7.4,-0.3,0.0,5.7,2.4,1015.3,54,2.5,晴時々曇一時雪
2006/3/15,12.3,-0.4,0,10.7,2.0,1019.4,54,0.5,快晴
2006/3/16,10.7,3.6,26.0,0,1.5,1006.0,74,10.0,雨一時曇
2006/3/17,10.9,4.1,1.0,1.2,2.0,1011.7,68,7.5,雨後曇
2006/3/18,8.9,2.2,14.0,0,1.0,1010.5,78,7.8,曇後雨
2006/3/19,9.3,2.1,2.5,3.9,2.5,1008.6,65,7.0,曇時々晴一時雨、みぞれを伴う
2006/3/20,13.0,0.3,0.0,10.1,1.8,1017.3,45,2.5,晴
2006/3/21,13.8,2.2,0.0,0.3,1.4,1018.5,58,6.3,曇
2006/3/22,11.7,3.7,12.5,0,1.3,1014.8,70,8.3,曇後雨
2006/3/23,15.9,7.5,3.5,1.0,1.7,1006.2,69,8.5,曇
2006/3/24,13.9,3.9,0,11.1,2.6,1014.8,40,4.3,晴
2006/3/25,16.8,1.4,0,11.2,1.4,1019.6,42,0.5,晴
2006/3/26,16.9,6.0,0,0.8,1.1,1017.1,48,7.5,曇
2006/3/27,19.1,5.2,0,9.2,1.6,1012.5,46,6.8,晴
2006/3/28,18.9,5.9,6.5,2.0,2.0,1002.4,57,9.0,曇後雨、雷を伴う
2006/3/29,9.2,2.9,0.5,6.8,2.8,1007.4,62,5.3,晴時々曇一時雨、みぞれを伴う
2006/3/30,8.9,1.2,1.0,5.3,2.2,1009.1,66,8.0,雨時々晴
2006/3/31,9.9,0.6,0.0,3.9,2.4,1017.9,57,6.5,曇一時雨後晴、みぞれを伴う
2006/4/1,15.2,0.9,0.5,4.3,1.4,1017.1,50,7.5,薄曇
2006/4/2,15.8,7.8,12.0,0,1.5,1001.9,78,9.8,雨
2006/4/3,17.1,8.3,0,10.2,2.7,1010.6,51,2.5,晴
2006/4/4,20.0,5.7,19.0,5.2,1.4,1013.1,61,5.0,晴後曇
2006/4/5,13.1,9.9,19.0,0,1.7,1005.2,75,10.0,雨
2006/4/6,13.7,4.9,0,8.1,2.5,1017.2,46,6.3,晴後曇
2006/4/7,18.7,4.4,0,11.1,2.0,1013.3,43,2.5,晴
2006/4/8,18.6,7.4,0.0,6.4,2.5,1012.4,45,1.0,晴
2006/4/9,16.6,5.0,0.0,7.3,1.9,1022.3,49,5.5,晴後薄曇
2006/4/10,12.8,9.6,13.5,0,1.6,1021.6,71,10.0,雨
2006/4/11,17.0,11.9,39.5,0,3.8,1010.3,78,10.0,雨
2006/4/12,17.6,13.9,2.0,0.2,1.1,1006.0,78,9.5,曇一時雨
2006/4/13,17.1,12.0,0.0,0,1.8,1011.0,72,10.0,曇
2006/4/14,12.2,8.4,0.0,0,2.3,1018.9,65,9.8,曇
2006/4/15,12.4,8.0,4.0,0,1.9,1016.3,72,10.0,雨
2006/4/16,16.4,6.7,6.5,2.3,2.0,1011.2,64,8.0,曇後一時雨
2006/4/17,16.8,3.8,0,9.9,1.8,1018.4,50,0.0,快晴
2006/4/18,23.8,6.3,0,7.3,1.5,1021.9,43,5.0,晴後薄曇
2006/4/19,23.1,12.1,0.0,2.9,2.0,1015.4,52,9.3,曇時々晴
2006/4/20,16.9,9.5,14.5,5.3,2.5,1002.8,53,8.8,曇時々晴
2006/4/21,12.5,7.2,0.5,2.5,2.3,1005.8,62,9.3,曇時々雨一時晴
2006/4/22,15.9,7.2,0.0,1.8,1.2,1009.5,58,9.8,曇
2006/4/23,20.6,11.9,0.5,0.3,1.6,1005.8,66,9.5,曇
2006/4/24,19.8,9.6,0.0,9.5,2.7,1007.9,45,0.8,晴
2006/4/25,16.7,6.7,0.0,6.0,2.3,1012.1,48,4.3,晴一時雨
2006/4/26,15.4,5.2,0.0,0,1.3,1015.2,49,8.8,曇
